delete from product;

delete from category;

INSERT INTO category (categoryID, categoryName, description) VALUES
('e6dc7c31-c0c4-422f-9018-f4ad73228626', 'men''s clothes T-shirt', 'T-shirt for men'),
('80f068cd-da77-43e4-8384-dc6825a56000', 'men''s clothes Jersey', 'Jersey for men'),
('f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'men''s clothes Hoodie', 'Hoodie for men'),
('ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'men''s clothes Shorts', 'Shorts for men'),
('dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'men''s clothes Trousers', 'Trousers for men'),
('014816fc-4c84-40b5-8a36-9d5d0c078235', 'wm''s clothes T-shirt', 'T-shirt for women'),
('dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'wm''s clothes Jersey', 'Jersey for women'),
('2687f23f-b4eb-4302-9097-9ce924cc1211', 'wm''s clothes Hoodie', 'Hoodie for women'),
('0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'wm''s clothes Shorts', 'Shorts for women'),
('61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'wm''s clothes Trousers', 'Trousers for women'),
('a6530b97-47b9-40b2-95b7-7583f33be315', 'kid''s clothes T-shirt', 'T-shirt for kids'),
('867abc16-c1e9-49c5-8ae3-2df722b390ee', 'kid''s clothes Jersey', 'Jersey for kids'),
('037ce04f-b291-45bf-8479-3bedaf276888', 'kid''s clothes Hoodie', 'Hoodie for kids'),
('9c6671d2-b748-40ff-a412-db44951df581', 'kid''s clothes Shorts', 'Shorts for kids'),
('4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'kid''s clothes Trousers', 'Trousers for kids'),
('eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'men''s Shoes', 'Shoes for men'),
('e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'wm''s Shoes', 'Shoes for women'),
('aea61a5a-4f39-4e46-85f9-aee374eb3716', 'kid''s Shoes', 'Shoes for kids'),
('32974795-e5a8-4df7-b900-a6a320309909', 'Ball', 'Basketball'),
('ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Band''s accessories', 'Wristband'),
('d4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Water-bottle''s accessories', 'Water bottle'),
('23919e53-14fd-47d3-bb2c-70e1a4336811', 'Backpack''s accessories', 'Backpack'),
('cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Tool''s accessories', 'Sports tool');





INSERT INTO product (productID, categoryID, productName, description, brand, price, stock, dateAdded, size) VALUES
('e948169d-a57f-4955-b8bd-3606cd9902a3', 'e6dc7c31-c0c4-422f-9018-f4ad73228626', 'Nike Dri-FIT T-shirt', 'Comfortable men''s T-shirt', 'Nike', 19.99, 100, '2024-07-05', 'M'),
('e3323eed-9682-4e29-bf21-bf127399f67b', 'e6dc7c31-c0c4-422f-9018-f4ad73228626', 'Adidas Climacool T-shirt', 'Soft men''s T-shirt', 'Adidas', 21.99, 80, '2024-06-21', 'L'),
('3da78831-014e-4546-8fb8-ded3fda6309b', 'e6dc7c31-c0c4-422f-9018-f4ad73228626', 'Puma Essential T-shirt', 'Stylish men''s T-shirt', 'Puma', 22.99, 60, '2024-05-18', 'S'),
('0b4da7b0-3391-4798-8661-492ef2109230', 'e6dc7c31-c0c4-422f-9018-f4ad73228626', 'Under Armour Sportstyle T-shirt', 'Casual men''s T-shirt', 'Under Armour', 18.99, 90, '2024-04-14', 'M'),
('80e23e43-db64-4e74-823b-906786c455d3', 'e6dc7c31-c0c4-422f-9018-f4ad73228626', 'Reebok Workout Ready T-shirt', 'Elegant men''s T-shirt', 'Reebok', 20.99, 50, '2024-03-20', 'L'),

('216abf79-2106-49d2-a0ce-36d5159417a6', '80f068cd-da77-43e4-8384-dc6825a56000', 'Nike Pro Jersey', 'Sporty men''s jersey', 'Nike', 29.99, 100, '2024-02-15', 'M'),
('8f41cee6-3cef-458d-b942-124838194a4b', '80f068cd-da77-43e4-8384-dc6825a56000', 'Adidas Condivo 20 Jersey', 'Cool men''s jersey', 'Adidas', 31.99, 80, '2024-01-10', 'L'),
('2a1859de-e52f-4728-aa60-7e3d1c8e2d11', '80f068cd-da77-43e4-8384-dc6825a56000', 'Puma Liga Jersey', 'Comfortable men''s jersey', 'Puma', 30.99, 60, '2024-05-25', 'S'),
('c8ab7b05-99d1-467b-a923-6987ed4d7804', '80f068cd-da77-43e4-8384-dc6825a56000', 'Under Armour Challenger Jersey', 'Athletic men''s jersey', 'Under Armour', 28.99, 90, '2024-06-30', 'M'),
('4232ca43-a33e-47a9-837d-a5ddd72bdfe9', '80f068cd-da77-43e4-8384-dc6825a56000', 'Reebok Crossfit Jersey', 'Durable men''s jersey', 'Reebok', 32.99, 50, '2024-07-12', 'L'),

('bda9e2d4-a4d5-417f-9999-f62194b4285f', 'f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'Nike Therma Hoodie', 'Warm men''s hoodie', 'Nike', 39.99, 100, '2024-04-18', 'M'),
